,id,name,address,symbol,chain,logo,audits,gecko_id,category,chains,module,twitter,forkedFrom,oracles,slug,tvl,chainTvls,change_1h,change_1d,change_7d
2070,2599,Moret,polygon:0x43F2acbaE09272021AFC107180Aa0ee313B00D8F,MOR,Polygon,https://icons.llama.fi/moret.png,2,,Options,['Polygon'],moret/index.js,moret_io,[],['Chainlink'],moret,0.0,{'Polygon': 0.0},0.0341249111851738,-0.0318022579602939,-0.03889999999998395
2071,2943,SageBet,,-,Arbitrum,https://icons.llama.fi/sagebet.jpg,0,,Prediction Market,['Arbitrum'],sagebet/index.js,sage_bet,[],[],sagebet,0.0,{'Arbitrum': 0.0},0.0341249111851738,-0.03180225796030811,-0.03889999999998395
2072,2214,BridgeKek,,-,Multi-Chain,https://icons.llama.fi/bridgekek.jpg,0,,Bridge,"['Ethereum', 'Kekchain']",bridgekek/index.js,,[],[],bridgekek,0.0,"{'Kekchain': 0.0, 'Ethereum': 0.0}",10.43672159678033,-16.49806727526935,-20.620773230131732
2073,2492,Monolith,0x848578e351d25b6ec0d486e42677891521c3d743,moSOLID,Ethereum,https://icons.llama.fi/monolith.jpg,0,mosolid,Yield Aggregator,['Ethereum'],monolith/index.js,MonolithETH_,['Solidex'],[],monolith,0.0,{'Ethereum': 0.0},-0.025878714050278973,-2.6312185881491104,-3.032565155343562
2074,2982,Satori Finance,,-,Polygon zkEVM,https://icons.llama.fi/satori-finance.jpg,2,,Derivatives,['Polygon zkEVM'],satori/index.js,SatoriFinance,[],['Internal'],satori-finance,0.0,{'Polygon zkEVM': 0.0},0.07375435696108923,-0.0717015056225847,-90.0071718412645
2075,2688,Palma Swap,core:0xC2B82A3b2240509D54FbF3f1AC9fc2cA094a6f9c,PALMA,CORE,https://icons.llama.fi/palma-swap.jpg,0,,Dexes,['CORE'],palmaswap/index.js,PalmaSwap,['Uniswap V2'],[],palma-swap,0.0,"{'CORE-staking': 0.0, 'CORE': 0.0, 'staking': 0.0}",0.40152164830573156,1.2682124840922597,5.855840771376421
2076,1490,Demodyfi,bsc:0x002d8563759f5e1eaf8784181f3973288f6856e4,DMOD,Multi-Chain,https://icons.llama.fi/demodyfi.png,0,demodyfi,Dexes,"['Moonbeam', 'Binance', 'Ethereum']",demodyfi/index.js,Demodyfi,[],['Internal'],demodyfi,0.0,"{'pool2': 0.01, 'Binance-pool2': 0.0, 'Moonbeam': 0.0, 'Ethereum-pool2': 0.01, 'Binance': 0.0, 'Ethereum': 0.0, 'Binance-staking': 0.0, 'Ethereum-staking': 0.0, 'staking': 0.01}",-0.5065086249936144,-3.927635188694296,0.5116926627229788
2077,1859,AuraSwap,polygon:0x1b7805e2829fd7D194DCc3078a4199b13c77E467,AURA,Polygon,https://icons.llama.fi/auraswap.png,0,auraswap,Dexes,['Polygon'],auraswap/index.js,AuraSwapDEX,['Uniswap V2'],[],auraswap,0.0,"{'Polygon': 0.0, 'Polygon-staking': 0.0, 'staking': 0.0}",-0.004859483806882281,-0.8250346693494777,1.034166404167621
2078,2039,Phission Finance,0x04E60C5F1C3A9Fff297A7498D6Fa571F5266c233,PHI,Ethereum,https://icons.llama.fi/phission-finance.png,0,,Derivatives,['Ethereum'],phission-finance/index.js,phissionfinance,['Synthetix'],['TWAP'],phission-finance,0.0,"{'Ethereum': 0.0, 'pool2': 0.0, 'Ethereum-pool2': 0.0}",-0.10165211436397215,-2.330812122733775,2.835774041294698
2079,940,Soda Protocol,,-,Solana,https://icons.llama.fi/soda-protocol.png,2,,Lending,['Solana'],soda-protocol/index.js,SodaProtocol,,"['Chainlink', 'Pyth', 'Switchboard']",soda-protocol,0.0,{'Solana': 0.0},-0.12185773986813331,-3.2769302274264476,1.3346488690804108
2080,2878,Avatr,0xa5d04fD00Ed911Ba809B4D1BC9e90F79eE5A4e47,AVART,Ethereum,https://icons.llama.fi/avatr.jpg,0,,Yield,['Ethereum'],avatr/index.js,Avatr_LSD,[],[],avatr,0.0,{'Ethereum': 0.0},-0.07814259213377284,-2.3370123120046884,0.22057824325887054
2081,1180,Liquidrium,,-,Multi-Chain,https://icons.llama.fi/liquidrium.png,2,,Yield,"['Polygon', 'Arbitrum', 'Ethereum']",liquidrium/index.js,,,,liquidrium,0.0,"{'Ethereum': 0.0, 'Polygon': 0.0, 'Arbitrum': 0.0}",-0.0005000157656525062,-0.45956022100709504,0.33409972926151
2082,2699,WaterDendy,arbitrum:0x88692aD37c48e8F4c821b71484AE3C2878C2A2C6,WD,Arbitrum,https://icons.llama.fi/waterdendy.png,0,,Yield,['Arbitrum'],waterdendy/index.js,defi_waterfall,[],[],waterdendy,0.0,"{'pool2': 0.0, 'Arbitrum-staking': 0.0, 'Arbitrum': 0.0, 'Arbitrum-pool2': 0.0, 'staking': 0.0}",0.004816037080274782,,-0.6329860942315975
2083,843,Unirex Finance,fantom:0x350a911687EB9710f1D36792F26D419577B127A8,UNIREX,Fantom,https://icons.llama.fi/unirex-finance.png,0,,Farm,['Fantom'],unirexfinance/index.js,UnirexFinance,['Goose Finance'],,unirex-finance,0.0,"{'pool2': 0.0, 'Fantom-staking': 0.0, 'Fantom-pool2': 0.0, 'staking': 0.0, 'Fantom': 0.0}",-0.0059174619202622125,-0.4030907499245018,-0.43465869730121653
2084,2391,Garble.Money,,-,Tron,https://icons.llama.fi/garble.money.png,0,,Privacy,['Tron'],garble-money/index.js,GarbleMoney,[],[],garble.money,0.0,{'Tron': 0.0},0.07375435696108923,-0.09990009990008275,0.0
2085,2160,SuperBots,bsc:0xbbeb90cfb6fafa1f69aa130b7341089abeef5811,UBXT,Multi-Chain,https://icons.llama.fi/superbots.png,2,,Services,"['Binance', 'Ethereum']",superbots/index.js,SuperBots_Fi,[],[],superbots,0.0,"{'pool2': 0.0, 'Binance-pool2': 0.0, 'Ethereum-pool2': 0.0, 'Binance': 0.0, 'Binance-staking': 0.01, 'Ethereum-staking': 0.03, 'staking': 0.04}",0.0,-0.5233219335966623,-0.010020946464692315
