market_cap_rank,id,symbol,name,market_cap_sum,market_cap_avg,market_cap_median,total_volume_sum,total_volume_avg,total_volume_median,Price_Change_24h_avg,Price_Change_24h_median,Price_Change_7d_avg,Price_Change_7d_median,Price_Change_30d_avg,Price_Change_30d_median,Price_Change_200d_avg,Price_Change_200d_median,Price_Change_1y_avg,Price_Change_1y_median
121,floki,floki,FLOKI,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
122,baby-doge-coin,babydoge,Baby Doge Coin,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
123,mx-token,mx,MX,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
124,gnosis,gno,Gnosis,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
125,nem,xem,NEM,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
126,oec-token,okt,OKT Chain,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
127,staked-frax-ether,sfrxeth,Staked Frax Ether,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
129,holotoken,hot,Holo,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
128,liquity-usd,lusd,Liquity USD,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
130,zcash,zec,Zcash,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
132,cdai,cdai,cDAI,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
133,safemoon,safemoon,SafeMoon [OLD],1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
131,fetch-ai,fet,Fetch.ai,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
