,id,name,symbol,gecko_id,chain,category,slug,tvl,change_1h,change_1d,change_7d
38,2221,Frax Ether,-,,Ethereum,Liquid Staking,frax-ether,432.17,-0.11452301698578538,-2.0940086364143298,8.412075525120358
39,1571,Stargate,STG,stargate-finance,Multi-Chain,Cross Chain,stargate,421.92,-0.030601703622551213,-0.3386653121715426,-2.3937231366640788
40,115,Synthetix,SNX,havven,Multi-Chain,Synthetics,synthetix,411.69,-0.8510633624165109,-4.4795553160211625,
41,119,SushiSwap,SUSHI,sushi,Multi-Chain,Dexes,sushiswap,389.39,-0.16490414367336825,,-0.25372310355271566
42,690,SUNSwap V1,SUN,,Tron,Dexes,sunswap-v1,387.36,-0.1272669555843322,-1.4280150056021483,-6.863320485350982
43,2301,Korbit,-,,Multi-Chain,CEX,korbit,382.97,-0.05324175949533583,-1.8651227868346894,2.85697962325348
44,1541,Portal,-,,Multi-Chain,Bridge,portal,368.28,0.2711693861358526,-0.48400852074883005,0.45602949657843794
45,144,dYdX,DYDX,dydx,Ethereum,Derivatives,dydx,355.75,0.048844780768789064,-0.036577696778167024,3.669404337439204
46,2373,Binance US,-,,Ethereum,CEX,binance-us,348.14,-0.2235881936683768,-3.9527084114230746,-1.9674039242420918
47,2769,PancakeSwap AMM V3,CAKE,,Multi-Chain,Dexes,pancakeswap-amm-v3,335.42,-0.0263668678874609,-0.2820649218564597,
48,2168,Morpho Aave,MORPHO,,Ethereum,Lending,morpho-aave,320.8,-0.10891470947512971,-2.4664482687459923,3.758836537855828
49,326,Beefy,BIFI,beefy-finance,Multi-Chain,Yield Aggregator,beefy,294.1,-0.034553516824431085,-0.2805984291103698,-2.058151871896385
50,2435,Nexo,-,nexo,Multi-Chain,CEX,nexo,293.87,-0.1660810960564305,-3.485561251419483,-0.5224349035902804
51,1796,Poly Network,-,,Multi-Chain,Bridge,poly-network,292.42,-0.06273836710293779,-3.290188935669832,-2.334126200985338
52,148,Tornado Cash,TORN,tornado-cash,Multi-Chain,Privacy,tornado-cash,290.08,-0.04355486617509996,-2.7188881451445894,3.2480724043158347
53,2995,PulseX,PLSX,,Pulse,Dexes,pulsex,285.19,-1.8214184072098618,-30.993721109243054,-40.70993685148048
54,122,Nexus Mutual,NXM,nxm,Ethereum,Insurance,nexus-mutual,271.71,-0.17368270288393717,-1.9427453335286344,2.7856427847051606
55,1793,Bwatch,BOX,b-watch-box,Mixin,Indexes,bwatch,270.73,-0.10773364921161033,-3.138291649040795,1.6373772121231838
56,2706,Radiant V2,RDNT,,Multi-Chain,Lending,radiant-v2,256.51,0.007289902264503212,-0.8327244166832344,1.779410727299009
57,132,hBTC,-,,Ethereum,Bridge,hbtc,252.65,0.12796815014930019,-2.5564742103988607,0.12796815014930019
58,347,Abracadabra,SPELL,spell-token,Multi-Chain,CDP,abracadabra,242.89,-0.008807315202659538,-0.08013932439965288,-0.43586659455041854
