,id,name,symbol,chain,chains,slug,tvl,chainTvls
771,2507,BitVenus,-,Multi-Chain,"['Tron', 'Binance', 'Ethereum', 'Bitcoin']",bitvenus,1.67,"{'Binance': 0.48, 'Ethereum': 0.35, 'Tron': 0.84, 'Bitcoin': 0.0}"
772,195,DefiDollar DAO,DFD,Ethereum,['Ethereum'],defidollar-dao,1.67,{'Ethereum': 1.67}
773,2965,Meld Gold,-,Algorand,['Algorand'],meld-gold,1.66,{'Algorand': 1.66}
774,627,Mean Finance,-,Multi-Chain,"['Ethereum', 'Polygon', 'Arbitrum', 'Optimism', 'Binance']",mean-finance,1.66,"{'Binance': 0.0, 'Optimism': 0.37, 'Ethereum': 0.45, 'Polygon': 0.43, 'Arbitrum': 0.41}"
775,812,EmpireDEX,EMPIRE,Multi-Chain,"['Binance', 'Empire', 'Cronos', 'Fantom', 'Ethereum', 'xDai', 'Avalanche', 'Polygon', 'Kava']",empiredex,1.64,"{'Empire': 0.22, 'Kava': 0.0, 'Cronos': 0.16, 'Binance': 0.98, 'Ethereum': 0.06, 'xDai': 0.05, 'Avalanche': 0.04, 'Polygon': 0.04, 'Fantom': 0.09}"
776,223,DerivaDEX,DDX,Ethereum,['Ethereum'],derivadex,1.63,{'Ethereum': 1.63}
777,1404,GotchiVault,VGHST,Polygon,['Polygon'],gotchivault,1.62,{'Polygon': 1.62}
778,1614,0vix,-,Multi-Chain,"['Polygon', 'Polygon zkEVM']",0vix,1.61,"{'Polygon zkEVM': 0.47, 'Polygon': 1.15, 'Polygon zkEVM-borrowed': 0.28, 'borrowed': 0.28}"
779,1079,IFPool,IFT,CSC,['CSC'],ifpool,1.61,{'CSC': 1.61}
780,2291,Voltz,-,Ethereum,['Ethereum'],voltz,1.59,{'Ethereum': 1.59}
781,912,FLRLoans,-,Songbird,['Songbird'],flrloans,1.58,{'Songbird': 1.58}
782,1429,GoodDollar,G$,Multi-Chain,"['Ethereum', 'Fuse']",gooddollar,1.58,"{'Ethereum': 1.58, 'Fuse-staking': 0.07, 'Fuse': 0.0, 'staking': 0.07}"
783,406,DELV,-,Ethereum,['Ethereum'],delv,1.58,{'Ethereum': 1.58}
784,1942,Moon Swap,MOON,Conflux,['Conflux'],moon-swap,1.58,{'Conflux': 1.58}
785,2751,LFGSwap Arbitrum,LFG,Arbitrum,['Arbitrum'],lfgswap-arbitrum,1.57,{'Arbitrum': 1.57}
786,461,Planet Farm,AQUA,Binance,['Binance'],planet-farm,1.56,"{'Binance': 1.56, 'Binance-staking': 0.35, 'staking': 0.35}"
787,2375,Y2K Finance,Y2K,Arbitrum,['Arbitrum'],y2k-finance,1.55,"{'Arbitrum-staking': 0.0, 'Arbitrum': 1.55, 'staking': 0.0}"
788,2697,Bond Protocol,-,Multi-Chain,"['Ethereum', 'Arbitrum']",bond-protocol,1.54,"{'Ethereum': 1.37, 'Arbitrum': 0.17}"
789,2343,Nitron,-,Carbon,['Carbon'],nitron,1.53,{'Carbon': 1.53}
790,2053,Cega,-,Multi-Chain,"['Ethereum', 'Solana']",cega,1.53,"{'Solana-borrowed': 0.42, 'Ethereum': 1.36, 'Ethereum-borrowed': 8.5, 'Solana': 0.17, 'borrowed': 8.92}"
